Month,mean,std,min,max
1,954.7940939450807,117.03037789425105,484.50954063017974,1292.270826461487
2,962.6331312798591,116.36343878647475,625.8593052089404,1212.732782216323
3,959.9724715678716,117.42340003492534,579.0922290034218,1262.0197524441658
4,980.8904862851325,121.59814424330611,638.8631795131098,1360.7828310601335
5,1025.571149998262,145.9553226697901,678.80957297098,1455.1065060002159
6,1112.814670511489,160.79142644903177,677.6419254563181,1568.630445991917
7,1121.1457570300074,175.5855434058075,691.7514063397988,1731.2821895171687
8,1065.5541658177337,148.62016473850366,683.5946730910828,1599.3832184151956
9,1034.1741943228176,150.59968065782402,483.7151824354013,1506.3683625492536
10,1013.3380804450339,136.66569590481942,601.3836464574563,1447.8467579190842
11,969.3299156514167,123.98083130915371,536.7969605594513,1233.612361966335
12,962.0762554945004,111.76241365088673,636.2170486875324,1267.5766969013732
