Date,Temperature,Temperature_C,Humidity,Wind_Speed,Solar_Radiation,Pressure,Energy_Consumption,Month,Day_of_Year,Quarter,Year,Week_of_Year,Day_of_Week,Is_Weekend,Season,Temp_Category,Temp_Humidity_Interaction,Wind_Solar_Interaction,Pressure_Temp_Interaction,Temperature_Squared,Humidity_Squared,Wind_Speed_Sqrt,Temp_MA_7,Temp_MA_30,Energy_MA_7,Temp_Lag_1,Temp_Lag_7,Energy_Lag_1
1981-01-01,20.7,20.7,72.45071229516849,3.8930538015922225,86.41268723892831,1027.0055438650081,1068.9562328790166,1,1,1,1981,1,3,0,Winter,Moderate,1499.7297445099875,336.4092405613096,21259.01475800567,428.48999999999995,5249.105712077278,1.9730823098878116,20.7,20.7,1068.9562328790166,,,
1981-01-02,17.9,17.9,62.92603548243223,2.8933710986395695,130.1997076465255,1014.307724689442,979.0357658459862,1,2,1,1981,1,4,0,Winter,Moderate,1126.376035135537,376.71607115577825,18156.10827194101,320.40999999999997,3959.6859415363206,1.7009912106297227,19.299999999999997,19.299999999999997,1023.9959993625014,20.7,,1068.9562328790166
1981-01-03,18.8,18.8,74.71532807151038,0.3172767349377216,494.5208484010079,1014.4320219249638,912.5257191202056,1,3,1,1981,1,5,1,Winter,Moderate,1404.6481677443953,156.8999601393038,19071.32201218932,353.44000000000005,5582.380248833428,0.5632732329320483,19.133333333333333,19.133333333333333,986.8392392817362,17.9,,979.0357658459862
1981-01-04,14.6,14.6,87.84544784612038,2.3444499315906584,186.00209654455614,998.114060220376,1029.0579753803083,1,4,1,1981,1,6,1,Winter,Cool,1282.5435385533574,436.07260251960366,14572.46527921749,213.16,7716.822707285455,1.531159668875411,18.0,18.0,997.3939233063792,18.8,,912.5257191202056
1981-01-05,15.8,15.8,61.48769937914996,5.801719454651589,125.63912182812551,1020.8703347194985,1011.1624876948524,1,5,1,1981,2,0,0,Winter,Moderate,971.5056501905694,728.9229373755768,16129.751288568077,249.64000000000001,3780.7371749407184,2.408675871646409,17.56,17.56,1000.1476361840738,14.6,,1029.0579753803083
1981-01-06,15.8,15.8,61.487945645762295,2.2948099219144638,157.1796160706885,1005.1411787692504,896.0276258498839,1,6,1,1981,2,1,0,Winter,Moderate,971.5095412030443,360.69734248172205,15881.230624554157,249.64000000000001,3780.7674597362184,1.5148630043388291,17.266666666666666,17.266666666666666,982.7943011283755,15.8,,1011.1624876948524
1981-01-07,15.8,15.8,88.68819223261087,0.8057873813985313,123.46375586424905,1024.1970040057363,1218.2093940508482,1,7,1,1981,2,2,0,Winter,Moderate,1401.2734372752518,99.48553653548082,16182.312663290633,249.64000000000001,7865.59544148854,0.897656605500417,17.057142857142857,17.057142857142857,1016.4250286887288,15.8,,896.0276258498839
1981-01-08,17.4,17.4,76.51152093729362,1.388612974315788,294.0747293656228,1015.0238122708931,986.3144888882796,1,8,1,1981,2,3,0,Winter,Moderate,1331.3004643089089,408.35598461550785,17661.414333513538,302.75999999999993,5854.012836137921,1.1783942355238284,16.585714285714285,17.1,1004.6190652614806,15.8,20.7,1218.2093940508482
1981-01-09,21.8,21.8,57.95788421097572,2.0753639072735117,126.58744243157332,1015.9121912176222,957.984422557055,1,9,1,1981,2,4,0,Winter,Moderate,1263.4818757992707,262.71500913655075,22146.885768544165,475.24,3359.116342212869,1.440612337609779,17.142857142857142,17.62222222222222,1001.6117305059189,17.4,17.9,986.3144888882796
1981-01-10,20.0,20.0,73.13840065378947,1.4290293308268887,161.38681264522384,1020.7254181905132,964.5691097171148,1,10,1,1981,2,5,1,Winter,Moderate,1462.7680130757894,230.6264888786887,20414.508363810266,400.0,5349.225650194233,1.1954201482436577,17.314285714285713,17.86,1009.0465005911917,21.8,18.8,957.984422557055
