Date,Temperature_C,Humidity,Wind_Speed,Solar_Radiation,Pressure,Month,Day_of_Year,Quarter,Week_of_Year,Day_of_Week,Is_Weekend,Temp_Humidity_Interaction,Wind_Solar_Interaction,Pressure_Temp_Interaction,Temperature_Squared,Humidity_Squared,Wind_Speed_Sqrt,Temp_MA_7,Temp_MA_30,Energy_MA_7,Temp_Lag_1,Temp_Lag_7,Energy_Lag_1,Season_Encoded,Temp_Category_Encoded,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,TempCat_Cold,TempCat_Cool,TempCat_Moderate,TempCat_Hot
1988-08-20,11.7,45.55825003625158,7.058154312624834,277.71433045459486,1019.1758990470134,8,233,3,33,5,1,533.0315254241434,1960.150599175817,11924.358018850056,136.89,2075.554146365617,2.6567187116111546,11.085714285714285,8.663333333333332,905.0950039846442,9.7,8.4,962.2165383282585,2,1,False,False,True,False,False,True,False,False
1989-03-13,12.8,74.03177480588725,0.3940772108962442,87.88303089779939,1021.0962242712691,3,72,1,11,0,0,947.6067175153569,34.632699701313236,13070.031670672244,163.84000000000003,5480.703680909603,0.6277556936390495,18.17142857142857,17.76,1021.1153070151577,17.7,18.3,1183.7587501056244,1,1,False,True,False,False,False,True,False,False
1987-04-11,14.0,91.08349495696368,1.0759506289002125,749.1356911632913,1017.6280645918185,4,101,2,15,5,1,1275.1689293974914,806.0330180387386,14246.79290428546,196.0,8296.203053575227,1.0372804003258773,13.814285714285713,13.056666666666667,1007.5650976639146,7.3,13.7,1243.9840588680613,1,1,False,True,False,False,False,True,False,False
1985-12-15,13.7,41.282139469518,0.6247343846430244,65.26379222558161,1003.4478452950373,12,349,4,50,6,1,565.5653107323966,40.77253507551893,13747.23548054201,187.68999999999997,1704.2150391807359,0.7904014072881098,14.571428571428571,13.76,917.0398949865196,13.6,16.4,1083.4817278085459,3,1,False,False,False,True,False,True,False,False
1989-04-05,19.2,56.246010104809926,2.2013357782379877,35.80289230387395,1012.6942146758871,4,95,2,14,2,0,1079.9233940123506,78.81418779291923,19443.72892177703,368.64,3163.6136527103804,1.4836899198410656,14.042857142857144,14.853333333333333,971.5310678420943,14.2,10.4,841.648497950262,1,3,False,True,False,False,False,False,True,False
1985-05-10,12.1,66.29215824569562,0.10516571715063151,119.6957327704077,1020.8758847336112,5,130,2,19,4,0,802.135114772917,12.587887576670271,12352.598205276696,146.41,4394.6502448723495,0.3242926412218315,11.72857142857143,11.32,1018.9383130995269,11.0,8.0,828.9702420946279,1,1,False,True,False,False,False,True,False,False
1985-12-29,12.0,61.627160272878825,2.5663148997594907,251.50833298798102,1009.82687667114,12,363,4,52,6,1,739.5259232745459,645.4495823607272,12117.92252005368,144.0,3797.9068832990943,1.6019721906947981,12.27142857142857,13.983333333333333,920.8965750687266,10.8,13.7,1023.483550931131,3,1,False,False,False,True,False,True,False,False
1989-09-09,13.3,74.12369287527453,0.4951809162895943,73.91753631486971,1023.8421520414137,9,252,3,36,5,1,985.8451152411512,36.60255336226655,13617.100622150803,176.89000000000001,5494.321845468024,0.7036909238363064,8.1,7.036666666666666,1095.321601159795,7.0,8.8,1108.9900322071442,0,1,True,False,False,False,False,True,False,False
1984-09-29,6.7,51.00098061390206,5.384360118891466,192.22414610669614,1026.1466373097537,9,273,3,39,5,1,341.7065701131438,1035.0040261848608,6875.18246997535,44.89,2601.1000235796137,2.3204224009631234,7.4142857142857155,8.283333333333333,1098.2239122060412,5.5,6.6,1136.9357622967127,0,1,True,False,False,False,False,True,False,False
1982-08-07,3.8,95.0,2.529400980610554,267.6658354628649,1011.8527848820609,8,219,3,31,5,1,361.0,677.0342266957136,3845.040582551831,14.44,9025.0,1.5904090607798216,5.771428571428571,4.95,1179.275293904753,4.5,7.1,1185.7732825762816,2,0,False,False,True,False,True,False,False,False
1990-11-08,15.4,50.39931742959448,1.654867372259187,99.64229069805657,1021.2110675396339,11,312,4,45,3,0,776.1494884157551,164.8947757733789,15726.650440110361,237.16000000000003,2540.0911973690263,1.2864164847587995,14.471428571428572,12.563333333333333,1006.6364911724702,19.2,15.4,1020.5047308062016,0,3,True,False,False,False,False,False,True,False
1987-08-21,5.1,61.559138838979585,2.0771819701685326,114.21994814096614,990.0,8,233,3,34,4,0,313.95160807879586,237.25561691199965,5049.0,26.009999999999998,3789.5275745967647,1.4412432029912692,6.985714285714286,7.0600000000000005,1112.6276509584982,8.0,9.1,993.7549235622566,2,1,False,False,True,False,False,True,False,False
1985-01-22,15.1,59.4075027186235,2.565192188681432,36.910088732449736,1021.2206178430602,1,22,1,4,1,0,897.0532910512148,94.6814713000186,15420.431329430208,228.01,3529.251379263258,1.6016217370782129,13.285714285714286,13.926666666666668,966.097242770954,12.4,16.5,1086.102794964693,3,3,False,False,False,True,False,False,True,False
1987-05-02,9.7,91.92817033868484,0.19637289651826176,112.31038075548663,1009.8804068688381,5,122,2,18,5,1,891.7032522852428,22.054714778023754,9795.83994662773,94.08999999999999,8450.788501818255,0.44313981599294566,12.514285714285716,11.973333333333333,1076.5421184912273,7.0,9.0,1136.2363334674471,1,1,False,True,False,False,False,True,False,False
1982-06-20,7.3,65.71098006974621,0.7161127085267454,503.463663678425,1021.2722480687374,6,171,2,24,6,1,479.69015450914736,360.5367278415553,7455.287410901783,53.29,4317.932901726584,0.8462344288238014,7.285714285714286,7.1933333333333325,1052.9483356261064,6.8,7.3,1062.7458360523233,2,1,False,False,True,False,False,True,False,False
1981-07-03,6.5,72.23708622864778,0.42176002943335594,543.7111905214408,997.9020109151647,7,184,3,27,4,0,469.5410604862106,229.31564771756788,6486.363070948571,42.25,5218.196626805096,0.6494305424241733,9.37142857142857,7.1466666666666665,1027.5948674611611,10.0,7.3,880.1761309644237,2,1,False,False,True,False,False,True,False,False
1987-07-21,7.0,51.05733709711385,3.2788237797923467,213.1079955742473,1015.629407787611,7,202,3,30,1,0,357.40135967979694,698.7435635527243,7109.405854513277,49.0,2606.8516714483185,1.810752269028634,7.585714285714286,6.753333333333333,1078.2530551267434,6.3,4.7,1088.6811753669404,2,1,False,False,True,False,False,True,False,False
1982-03-06,19.5,38.618907703653285,1.4650766178581305,114.38640795058934,996.8788646847456,3,65,1,9,5,1,753.068700221239,167.5848516891898,19439.13786135254,380.25,1491.420032223291,1.2104034938226718,14.87142857142857,15.94,990.8557433047009,21.5,10.4,1031.9689249640458,1,3,False,True,False,False,False,False,True,False
1982-11-19,8.7,59.377687886756036,0.9859996322453437,192.90294380300267,1012.2812347041433,11,323,4,46,4,0,516.5858846147775,190.20223164880483,8806.846741926047,75.68999999999998,3525.7098187770143,0.9929751418063514,12.12857142857143,11.403333333333332,955.656493062723,9.1,9.0,872.8653347586197,0,1,True,False,False,False,False,True,False,False
1984-01-29,14.7,47.854926309042746,9.564851503915131,377.8014094317151,998.3394032960173,1,29,1,4,6,1,703.4674167429283,3613.6143791841964,14675.589228451454,216.08999999999997,2290.0939720439114,3.092709411489403,13.357142857142858,14.546666666666665,974.1868127301757,10.6,12.7,964.0584297293102,3,1,False,False,False,True,False,True,False,False
1985-08-30,5.3,72.33780695221495,1.42469618060364,109.12571318211587,1016.9231821900453,8,242,3,35,4,0,383.39037684673923,155.47098677620878,5389.69286560724,28.09,5232.758314655917,1.1936063759060773,7.614285714285714,7.609999999999999,1105.640600770774,3.6,10.6,1246.2040376948764,2,1,False,False,True,False,False,True,False,False
1988-01-31,14.4,55.614840687556814,0.4056517882274702,424.39087528241686,1007.2460912066285,1,31,1,4,6,1,800.8537059008181,172.1549174657337,14504.34371337545,207.36,3093.010504702325,0.6369079903938011,16.514285714285712,16.533333333333335,990.2587263498452,23.4,12.3,981.550655874183,3,1,False,False,False,True,False,True,False,False
1983-01-30,14.3,75.50464819113488,0.544377881303494,114.33409010169196,1015.6026272991097,1,30,1,4,6,1,1079.7164691332289,62.240949730321844,14523.11757037727,204.49,5700.951898467047,0.7378196807509908,13.185714285714285,13.153333333333332,996.4544510228461,13.8,16.9,964.1089961022424,3,1,False,False,False,True,False,True,False,False
1990-12-29,13.5,68.1910966378649,0.9085563938109158,131.96737215607388,1015.5973774665746,12,363,4,52,5,1,920.5798046111762,119.89979974682554,13710.564595798756,182.25,4650.02566067463,0.9531822458538114,13.214285714285714,14.313333333333333,871.333834497754,13.6,13.2,767.291412929609,3,1,False,False,False,True,False,True,False,False
1989-08-29,7.0,55.90244917676391,1.2157808999284703,136.0758976604739,1012.3637593314764,8,241,3,35,1,0,391.31714423734735,165.4384773162254,7086.546315320335,49.0,3125.083823960672,1.102624550755365,6.228571428571428,6.849999999999999,1119.9677449060603,6.3,8.6,1066.5874588282431,2,1,False,False,True,False,False,True,False,False
1986-10-08,8.3,89.64009429883944,0.18785717799965532,83.53794247756332,1012.8048456059594,10,281,4,41,2,0,744.0127826803674,15.69320212973258,8406.280218529464,68.89000000000001,8035.346505904828,0.4334249392912864,10.914285714285715,9.366666666666667,1002.2055645435723,10.6,11.0,958.2554640868614,0,1,True,False,False,False,False,True,False,False
1981-10-23,9.1,54.60635607109019,4.965557457609537,154.96184425596658,1027.2370731002077,10,296,4,43,4,0,496.9178402469207,769.4719413901425,9347.85736521189,82.80999999999999,2981.8541233626884,2.2283530818991717,10.171428571428573,9.843333333333332,946.8091017762987,11.4,10.2,1016.9909042288419,0,1,True,False,False,False,False,True,False,False
